NotHandlingExceptions_Ranking,Number,AssumingSafeReturnValue_Ranking,Number,ExcessiveCommunication_Ranking,Number,Clustering_Ranking,Number,Scattering_Ranking,Number,HardCodingLibraries_Ranking,Number,LocalReferences_Ranking,Number,MemoryManagement_Ranking,Number,CachingObjects_Ranking,Number,SecuringLibraries_Ranking,Number,RelativePath_Ranking,Number,ExcessiveObjects_Ranking,Number,UnusedDeclaration_Ranking,Number,UnusedImplementation_Ranking,Number,UnusedParameters_Ranking,Number
9,4,6,1,4,1,1,1,1,2,1,18,2,1,1,1,1,17,1,1,1,39,1,5,1,26,1,5,1,56
10,17,9,1,8,2,2,1,2,5,2,10,8,5,2,1,2,23,2,1,2,10,2,1,2,54,2,3,2,61
11,17,10,17,9,6,7,2,3,9,3,25,9,38,5,1,3,15,3,5,3,54,3,6,3,25,3,7,3,25
12,9,11,18,10,48,8,17,4,8,4,15,10,16,6,3,4,22,4,6,4,19,4,15,4,35,4,37,4,13
13,30,12,38,11,18,9,9,5,15,5,58,11,3,7,2,5,12,5,17,5,14,5,3,5,1,5,49,5,1
14,40,13,68,12,33,10,32,6,5,6,36,12,18,8,1,6,52,6,4,6,23,6,23,6,8,6,16,7,2
15,54,14,6,13,9,11,46,7,61,7,6,13,25,9,13,7,9,7,38,8,3,7,41,7,2,7,8,8,4
12,,15,22,14,35,12,36,8,12,8,2,14,30,10,21,8,16,8,39,9,4,8,35,8,8,8,27,9,8
12,,"11,5",,15,19,14,21,9,6,9,1,15,35,11,25,9,2,9,21,11,2,9,27,9,12,9,19,10,1
,,"11,25",,11,,15,6,11,27,5,,11,,12,19,11,2,10,17,15,3,10,2,5,,5,,5,
,,,,"10,66666667",,"9,5",,12,1,5,,11,,13,34,13,1,12,17,"5,5",,11,13,5,,5,,"5,444444444",
,,,,,,"8,9",,14,20,5,,"10,5",,14,18,6,,13,4,"6,4",,6,,,,,,,
,,,,,,,,"6,5",,,,,,15,32,"6,272727273",,14,1,,,6,,,,,,,
,,,,,,,,"6,807692308",,,,,,9,,,,7,,,,,,,,,,,
,,,,,,,,,,,,,,9,,,,"7,214285714",,,,,,,,,,,
,,,,,,,,,,,,,,"8,692307692",,,,,,,,,,,,,,,
