1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
NotHandlingExceptions,SecuringLibraries,CachingObjects,Scattering,RelativePath,UnusedParameters,HardCodingLibraries,Clustering,ExcessiveObjects,AssumingSafeReturnValue,UnusedDeclaration,ExcessiveCommunication,UnusedImplementation,LocalReferences,MemoryManagement
ExcessiveCommunication,AssumingSafeReturnValue,NotHandlingExceptions,Clustering,MemoryManagement,LocalReferences,UnusedParameters,SecuringLibraries,Scattering,ExcessiveObjects,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,CachingObjects,RelativePath
NotHandlingExceptions,MemoryManagement,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,LocalReferences,UnusedImplementation,SecuringLibraries,ExcessiveObjects,HardCodingLibraries,Scattering,UnusedDeclaration,RelativePath,CachingObjects,UnusedParameters
AssumingSafeReturnValue,ExcessiveCommunication,MemoryManagement,Clustering,Scattering,NotHandlingExceptions,LocalReferences,ExcessiveObjects,SecuringLibraries,HardCodingLibraries,UnusedImplementation,RelativePath,CachingObjects,UnusedParameters,UnusedDeclaration
LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,SecuringLibraries,Clustering,ExcessiveCommunication,MemoryManagement,UnusedParameters,Scattering,ExcessiveObjects,UnusedImplementation,CachingObjects,HardCodingLibraries,UnusedDeclaration,RelativePath
NotHandlingExceptions,Clustering,MemoryManagement,LocalReferences,AssumingSafeReturnValue,ExcessiveCommunication,Scattering,RelativePath,SecuringLibraries,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,ExcessiveObjects,CachingObjects,UnusedParameters
AssumingSafeReturnValue,ExcessiveCommunication,LocalReferences,NotHandlingExceptions,MemoryManagement,Clustering,UnusedImplementation,ExcessiveObjects,SecuringLibraries,CachingObjects,HardCodingLibraries,UnusedParameters,UnusedDeclaration,Scattering,RelativePath
NotHandlingExceptions,Scattering,LocalReferences,AssumingSafeReturnValue,Clustering,ExcessiveCommunication,MemoryManagement,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,RelativePath,UnusedParameters,UnusedDeclaration,HardCodingLibraries
ExcessiveCommunication,Clustering,MemoryManagement,LocalReferences,AssumingSafeReturnValue,NotHandlingExceptions,UnusedImplementation,ExcessiveObjects,SecuringLibraries,RelativePath,HardCodingLibraries,UnusedDeclaration,Scattering,CachingObjects,UnusedParameters
NotHandlingExceptions,MemoryManagement,LocalReferences,ExcessiveCommunication,Scattering,AssumingSafeReturnValue,UnusedImplementation,Clustering,SecuringLibraries,CachingObjects,RelativePath,UnusedDeclaration,UnusedParameters,HardCodingLibraries,ExcessiveObjects
LocalReferences,NotHandlingExceptions,AssumingSafeReturnValue,Clustering,MemoryManagement,ExcessiveCommunication,UnusedParameters,SecuringLibraries,ExcessiveObjects,CachingObjects,UnusedImplementation,Scattering,RelativePath,UnusedDeclaration,HardCodingLibraries
MemoryManagement,LocalReferences,AssumingSafeReturnValue,NotHandlingExceptions,CachingObjects,Clustering,ExcessiveCommunication,UnusedImplementation,Scattering,ExcessiveObjects,SecuringLibraries,UnusedParameters,HardCodingLibraries,UnusedDeclaration,RelativePath
Clustering,LocalReferences,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,UnusedDeclaration,ExcessiveObjects,Scattering,HardCodingLibraries,SecuringLibraries,UnusedImplementation,CachingObjects,RelativePath,UnusedParameters
NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,SecuringLibraries,Clustering,ExcessiveCommunication,MemoryManagement,ExcessiveObjects,Scattering,HardCodingLibraries,UnusedImplementation,RelativePath,UnusedParameters,UnusedDeclaration,CachingObjects
MemoryManagement,ExcessiveCommunication,NotHandlingExceptions,Clustering,Scattering,AssumingSafeReturnValue,LocalReferences,CachingObjects,ExcessiveObjects,HardCodingLibraries,UnusedImplementation,SecuringLibraries,RelativePath,UnusedParameters,UnusedDeclaration
LocalReferences,Clustering,AssumingSafeReturnValue,MemoryManagement,NotHandlingExceptions,SecuringLibraries,ExcessiveCommunication,UnusedImplementation,Scattering,CachingObjects,HardCodingLibraries,UnusedParameters,RelativePath,UnusedDeclaration,ExcessiveObjects
ExcessiveCommunication,NotHandlingExceptions,AssumingSafeReturnValue,LocalReferences,MemoryManagement,Clustering,UnusedImplementation,ExcessiveObjects,Scattering,CachingObjects,HardCodingLibraries,SecuringLibraries,UnusedDeclaration,UnusedParameters,RelativePath
NotHandlingExceptions,ExcessiveCommunication,MemoryManagement,SecuringLibraries,Clustering,AssumingSafeReturnValue,LocalReferences,ExcessiveObjects,HardCodingLibraries,CachingObjects,Scattering,UnusedImplementation,RelativePath,UnusedDeclaration,UnusedParameters
ExcessiveCommunication,NotHandlingExceptions,LocalReferences,AssumingSafeReturnValue,Clustering,SecuringLibraries,MemoryManagement,CachingObjects,Scattering,HardCodingLibraries,UnusedParameters,UnusedImplementation,ExcessiveObjects,UnusedDeclaration,RelativePath
MemoryManagement,Scattering,AssumingSafeReturnValue,Clustering,ExcessiveObjects,ExcessiveCommunication,NotHandlingExceptions,LocalReferences,SecuringLibraries,RelativePath,HardCodingLibraries,UnusedImplementation,CachingObjects,UnusedParameters,UnusedDeclaration
NotHandlingExceptions,LocalReferences,ExcessiveCommunication,MemoryManagement,AssumingSafeReturnValue,Clustering,UnusedImplementation,SecuringLibraries,Scattering,CachingObjects,HardCodingLibraries,ExcessiveObjects,RelativePath,UnusedParameters,UnusedDeclaration
LocalReferences,Clustering,NotHandlingExceptions,ExcessiveCommunication,MemoryManagement,AssumingSafeReturnValue,ExcessiveObjects,CachingObjects,SecuringLibraries,HardCodingLibraries,UnusedImplementation,UnusedDeclaration,RelativePath,UnusedParameters,Scattering
MemoryManagement,ExcessiveCommunication,AssumingSafeReturnValue,Clustering,Scattering,NotHandlingExceptions,LocalReferences,SecuringLibraries,UnusedImplementation,HardCodingLibraries,CachingObjects,ExcessiveObjects,UnusedParameters,UnusedDeclaration,RelativePath
Clustering,NotHandlingExceptions,AssumingSafeReturnValue,MemoryManagement,ExcessiveCommunication,LocalReferences,UnusedDeclaration,UnusedImplementation,SecuringLibraries,RelativePath,Scattering,ExcessiveObjects,HardCodingLibraries,CachingObjects,UnusedParameters
